timestamp,fask1,fask1amountltc,fbid1,fbid1amountltc,sask1,sask1amount,sbid1,sbid1amount,diff,mindiff,maxdiff,avadiff
2017/6/8 8:51:36,189.5433216,8.687153871212943859268107286,189.0013184,10.52708000580804414113547263,189.5,32.47,189.3,40.361,0.2433216,0.2433216,0.2433216,0.2433216
2017/6/8 8:51:42,189.5364608,20.632737276478679504814305365,189.0013184,3.9930303470306374328444896181,189.3,34.364,189.1,54.1,0.4364608,0.4364608,0.4364608,0.2182304
2017/6/8 8:51:47,189.5364608,20.632737276478679504814305365,188.67200,5.4545454545454545454545454545,189.3,323.18,189.1,54.1,0.4364608,0.4364608,0.4364608,0.1454869333333333333333333333
2017/6/8 8:51:53,189.5296000,9.411764705882352941176470588,188.6788608,2.9089851278135340533071524672,189.3,326.531,189.1,54.1,0.4296000,0.4296000,0.4296000,0.1074000
2017/6/8 8:51:59,189.5227392,12.670141905589342600637127136,188.7063040,5.4535538992910379930921650609,189.3,280.892,189.1,54.76,0.4227392,0.4227392,0.4227392,0.08454784
2017/6/8 8:52:04,189.4404096,52.151238591916558018252933507,188.7268864,2.9082448742184091900538025302,189.3,280.892,189.1,12.553,0.3404096,0.3404096,0.3404096,0.0567349333333333333333333333
2017/6/8 8:52:10,189.4198272,3.6220073164547792386540620812,188.7268864,2.9082448742184091900538025302,189.3,389.872,189.1,18.869,0.3198272,0.3198272,0.3198272,0.0456896
2017/6/8 8:52:16,189.4129664,7.968704723268617791944363952,188.7268864,2.9082448742184091900538025302,189,46.897,188.5,271.92,0.9129664,0.9129664,0.9129664,0.1141208
2017/6/8 8:52:21,189.0699264,4.7173234632411640902823136657,188.6994432,5.4537521815008726003490401396,188.5,187.208,188.23,119,0.8399264,0.8399264,0.8399264,0.0933251555555555555555555556
2017/6/8 8:52:27,189.0630656,11.612294516819682839206009362,188.6994432,5.4537521815008726003490401396,188.5,167.377,188.23,119,0.8330656,0.8330656,0.8330656,0.08330656
